Code,Country,Total Count,Succcessful Count,Latitude,Longitude
GB,United Kingdom,28406,10195,55.378051,-3.435973
US,United States,177899,58050,37.09024,-95.712891
AU,Australia,7735,1971,-25.274398,133.775136
NO,Norway,708,162,60.472024,8.468946
CA,Canada,14071,3904,56.130366,-106.346771
IT,Italy,2878,439,41.87194,12.56738
DE,Germany,4171,937,51.165691,10.451526
IE,Ireland,811,207,53.41291,-8.24389
MX,Mexico,1752,396,23.634501,-102.552784
ES,Spain,2276,492,40.463667,-3.74922
SE,Sweden,1757,509,60.128161,18.643501
FR,France,2939,908,46.227638,2.213749
NL,Netherlands,2868,617,52.132633,5.291266
NZ,New Zealand,1402,430,-40.900557,174.885971
CH,Switzerland,761,187,46.818188,8.227512
AT,Austria,597,107,47.516231,14.550072
DK,Denmark,1113,360,56.26392,9.501785
BE,Belgium,617,152,50.503887,4.469936
HK,Hong Kong,618,216,22.396428,114.109497
LU,Luxembourg,62,19,49.815273,6.129583
SG,Singapore,555,178,1.352083,103.819836
JP,Japan,40,7,36.204824,138.252924